X1-X2-M,Lattice parameter,Formation energy (SCAN),Formation energy (PBE),Energy above hull,Elastic constant,Band gap (PBE),Band gap (GW)
OH-OH-Ba,,-1.867701694,,,,,
OH-OH-Be,,-1.599390836,,,,,
OH-OH-Ca,,-2.013624906,,,,,
OH-OH-Cd,,-1.116737622,,,,,
OH-OH-Co,,-0.995600362,,,,,
OH-OH-Cu,,-0.805399114,,,,,
OH-OH-Fe,,-1.035061092,,,,,
OH-OH-Mg,,-1.878757444,,,,,
OH-OH-Mn,,-1.085342614,,,,,
OH-OH-Ni,,-1.143484612,,,,,
OH-OH-Pb,,-0.993897716,,,,,
OH-OH-Pd,,-0.540211852,,,,,
OH-OH-Pt,,-0.306465232,,,,,
OH-OH-Sr,,-1.959232812,,,,,
OH-OH-Zn,,-1.232251728,,,,,
OH-O-Al,,-2.361261243,,,,,
OH-O-Bi,,-0.952054742,,,,,
OH-O-Ce,,-2.585209017,,,,,
OH-O-Co,,-1.143992335,,,,,
OH-O-Cr,,-1.830209913,,,,,
OH-O-Fe,,-1.21246382,,,,,
OH-O-Ga,,-1.557153238,,,,,
OH-O-Gd,,-2.579717242,,,,,
OH-O-In,,-1.40686313,,,,,
OH-O-Ir,,-0.54994648,,,,,
OH-O-La,,-2.65532639,,,,,
OH-O-Lu,,-2.79215112,,,,,
OH-O-Nd,,-2.596024883,,,,,
OH-O-Rh,,-0.844651192,,,,,
OH-O-Ru,,-0.803266135,,,,,
OH-O-Sc,,-2.716629347,,,,,
OH-O-Sm,,-2.63517754,,,,,
OH-O-Y,,-2.736906235,,,,,
O-O-Ce,,-3.489876093,,,,,
O-O-Ge,,-1.67664236,,,,,
O-O-Hf,,-3.616516533,,,,,
O-O-Ir,,-0.620034377,,,,,
O-O-Mo,,-1.6936549,,,,,
O-O-Os,,-0.56374549,,,,,
O-O-Pd,,-0.538861797,,,,,
O-O-Pt,,-0.680487687,,,,,
O-O-Re,,-1.037162353,,,,,
O-O-Ru,,-0.943820393,,,,,
O-O-Sn,,-1.65742134,,,,,
O-O-Tc,,-1.463623847,,,,,
O-O-Te,,-0.64752092,,,,,
O-O-Ti,,-3.20106069,,,,,
O-O-W,,-1.677554023,,,,,
O-O-Zr,,-3.53530104,,,,,
NH-OH-Bi,,-0.311334838,,,,,
NH-OH-Ce,,-1.461168738,,,,,
NH-OH-Gd,,-1.445005934,,,,,
NH-OH-La,,-1.471963264,,,,,
NH-OH-Nd,,-1.440855868,,,,,
NH-OH-Y,,-1.561544658,,,,,
PH-OH-Al,,-0.644612126,,,,,
PH-OH-Bi,,-0.321120976,,,,,
PH-OH-Ce,,-1.082619484,,,,,
PH-OH-Ga,,-0.412116236,,,,,
PH-OH-Gd,,-1.080016134,,,,,
PH-OH-In,,-0.432257412,,,,,
PH-OH-La,,-1.149278024,,,,,
PH-OH-Lu,,-1.120553858,,,,,
PH-OH-Nd,,-1.099370058,,,,,
